Statistic,F,M
L,-0.908,-0.975
x*,100.274,96.971
L Std.Err,0.578,0.211
-x* Std.Err,5.42,2.192
L t-value,-1.57,-4.622
-x* t-value,-18.5,-44.249
Adj. R^2,90.7%,98.2%
Range: g,"(9.10%, 11.6%)","(6.91%, 11.2%)"
G,0.107,0.096
Countries,36,36
