Year,Age,qx,Country,Gender,Country Name
2011,35,0.00111,AUS,Male,Australia
2011,36,0.00102,AUS,Male,Australia
2011,37,0.00124,AUS,Male,Australia
2011,38,0.00106,AUS,Male,Australia
2011,39,0.00121,AUS,Male,Australia
2011,40,0.00136,AUS,Male,Australia
2011,41,0.00157,AUS,Male,Australia
2011,42,0.00151,AUS,Male,Australia
2011,43,0.00158,AUS,Male,Australia
2011,44,0.00157,AUS,Male,Australia
2011,45,0.00194,AUS,Male,Australia
2011,46,0.00198,AUS,Male,Australia
2011,47,0.00217,AUS,Male,Australia
2011,48,0.00248,AUS,Male,Australia
2011,49,0.00276,AUS,Male,Australia
2011,50,0.00272,AUS,Male,Australia
2011,51,0.00318,AUS,Male,Australia
2011,52,0.00329,AUS,Male,Australia
2011,53,0.00364,AUS,Male,Australia
2011,54,0.00407,AUS,Male,Australia
2011,55,0.00467,AUS,Male,Australia
2011,56,0.00489,AUS,Male,Australia
2011,57,0.00499,AUS,Male,Australia
2011,58,0.00563,AUS,Male,Australia
2011,59,0.00627,AUS,Male,Australia
2011,60,0.00675,AUS,Male,Australia
2011,61,0.00759,AUS,Male,Australia
2011,62,0.0079,AUS,Male,Australia
2011,63,0.00878,AUS,Male,Australia
2011,64,0.00979,AUS,Male,Australia
2011,65,0.01025,AUS,Male,Australia
2011,66,0.01164,AUS,Male,Australia
2011,67,0.01285,AUS,Male,Australia
2011,68,0.01357,AUS,Male,Australia
2011,69,0.01492,AUS,Male,Australia
2011,70,0.01631,AUS,Male,Australia
2011,71,0.01863,AUS,Male,Australia
2011,72,0.0215,AUS,Male,Australia
2011,73,0.02282,AUS,Male,Australia
2011,74,0.02682,AUS,Male,Australia
2011,75,0.0287,AUS,Male,Australia
2011,76,0.03317,AUS,Male,Australia
2011,77,0.03809,AUS,Male,Australia
2011,78,0.04027,AUS,Male,Australia
2011,79,0.04697,AUS,Male,Australia
2011,80,0.0519,AUS,Male,Australia
2011,81,0.05844,AUS,Male,Australia
2011,82,0.06603,AUS,Male,Australia
2011,83,0.07467,AUS,Male,Australia
2011,84,0.08286,AUS,Male,Australia
2011,85,0.09161,AUS,Male,Australia
2011,86,0.10753,AUS,Male,Australia
2011,87,0.11438,AUS,Male,Australia
2011,88,0.13038,AUS,Male,Australia
2011,89,0.15118,AUS,Male,Australia
2011,90,0.16622,AUS,Male,Australia
2011,91,0.18984,AUS,Male,Australia
2011,92,0.19672,AUS,Male,Australia
2011,93,0.2195,AUS,Male,Australia
2011,94,0.247,AUS,Male,Australia
2011,95,0.26588,AUS,Male,Australia
2011,96,0.28839,AUS,Male,Australia
2011,97,0.31133,AUS,Male,Australia
2011,98,0.33447,AUS,Male,Australia
2011,99,0.35761,AUS,Male,Australia
2011,100,0.38052,AUS,Male,Australia
2011,101,0.40298,AUS,Male,Australia
2011,102,0.42479,AUS,Male,Australia
2011,103,0.44579,AUS,Male,Australia
2011,104,0.46583,AUS,Male,Australia
2011,105,0.4848,AUS,Male,Australia
2011,106,0.5026,AUS,Male,Australia
2011,107,0.51919,AUS,Male,Australia
2011,108,0.53454,AUS,Male,Australia
2011,109,0.54866,AUS,Male,Australia
2011,110,1,AUS,Male,Australia
2011,0,0.00276,AUT,Female,Austria
2011,1,1.8e-4,AUT,Female,Austria
2011,2,1.3e-4,AUT,Female,Austria
2011,3,1.3e-4,AUT,Female,Austria
2011,4,5e-5,AUT,Female,Austria
2011,5,1e-4,AUT,Female,Austria
2011,6,1.3e-4,AUT,Female,Austria
2011,7,1e-4,AUT,Female,Austria
2011,8,3e-5,AUT,Female,Austria
2011,9,1.3e-4,AUT,Female,Austria
2011,10,8e-5,AUT,Female,Austria
2011,11,7e-5,AUT,Female,Austria
2011,12,7e-5,AUT,Female,Austria
2011,13,9e-5,AUT,Female,Austria
2011,14,7e-5,AUT,Female,Austria
2011,15,9e-5,AUT,Female,Austria
2011,16,2.6e-4,AUT,Female,Austria
2011,17,2.9e-4,AUT,Female,Austria
2011,18,2.4e-4,AUT,Female,Austria
2011,19,2e-4,AUT,Female,Austria
2011,20,2.7e-4,AUT,Female,Austria
2011,21,3.1e-4,AUT,Female,Austria
2011,22,3.3e-4,AUT,Female,Austria
2011,23,3e-4,AUT,Female,Austria
