Statistic,Female,Male,Total
L,-0.454,-1.078,-0.68
x*,100.649,94.427,98.935
L Std.Err,0.244,0.131,0.231
-x* Std.Err,1.875,1.169,1.912
L t-value,-1.858,-8.212,-2.945
-x* t-value,-53.666,-80.803,-51.737
Adj. R^2,98.8%,99.5%,98.7%
Range: g,"(10.3%, 15.4%)","(7.49%, 13.6%)","(9.47%, 13.9%)"
G,0.13,0.111,0.12
Countries,37,37,37
