Statistic,Female,Male,Total
L,-1.578,-0.923,-1.119
x*,94.415,97.819,98.015
L Std.Err,0.657,0.236,0.314
-x* Std.Err,6.343,2.488,3.25
L t-value,-2.401,-3.913,-3.568
-x* t-value,-14.884,-39.313,-30.161
Adj. R^2,86.0%,97.7%,96.2%
Range: g,"(8.95%, 11.2%)","(6.86%, 10.8%)","(7.46%, 10.8%)"
G,0.103,0.094,0.096
Countries,37,37,37
